date,siteclust,subregion,lon,lat,dhw
2023-06-01,1,Upper Keys,-80.21065787388889,25.22146261977778,0
2023-06-01,10,Upper Keys,-80.3502695,25.0337599,0
2023-06-01,11,Upper Keys,-80.30377966666667,25.112720216666666,0
2023-06-01,12,Upper Keys,-80.29363458333333,25.134927492105263,0
2023-06-01,13,Middle Keys,-80.484465,24.939072,0
2023-06-01,14,Upper Keys,-80.37158037500001,25.0137503375,0
2023-06-01,15,Upper Keys,-80.243,25.2092,0
2023-06-01,16,Upper Keys,-80.405216,25.01575,0
2023-06-01,17,Upper Keys,-80.2191835234375,25.209177501875,0
2023-06-01,18,Upper Keys,-80.266,25.171266,0
2023-06-01,19,Upper Keys,-80.2088667,25.2807167,0
2023-06-01,2,Lower Keys,-81.84418155555555,24.46009533333333,0
2023-06-01,20,Upper Keys,-80.24255788333333,25.186216616666666,0
2023-06-01,21,Tortugas--Dry Tortugas NP,-82.867385,24.620765,0
2023-06-01,22,Tortugas--Dry Tortugas NP,-82.89099433333334,24.680955333333333,0
2023-06-01,23,Biscayne,-80.1861780047814,25.317226179867,0
2023-06-01,24,Biscayne,-80.16031,25.3732,0
2023-06-01,25,Lower Keys,-81.37904,24.553425,0
2023-06-01,26,Lower Keys,-81.472025,24.5333225,0
2023-06-01,27,Lower Keys,-81.54748363636364,24.516484545454546,0
2023-06-01,28,Lower Keys,-81.5935,24.50599,0
2023-06-01,29,Lower Keys,-81.76455999999999,24.471865,0
2023-06-01,3,Lower Keys,-81.386315,24.614938333333335,0
2023-06-01,30,Lower Keys,-81.9258,24.444805000000002,0
2023-06-01,31,Lower Keys,-81.90785,24.45692,0
2023-06-01,32,Lower Keys,-81.65581,24.493776666666665,0
2023-06-01,33,Lower Keys,-81.485742,24.530938,0
2023-06-01,34,Lower Keys,-81.36317,24.62133,NA
2023-06-01,35,Middle Keys,-80.96599,24.68441,0
2023-06-01,36,Lower Keys,-81.44109888888889,24.540693333333333,0
2023-06-01,37,Lower Keys,-81.50222777777778,24.5262,0
2023-06-01,38,Lower Keys,-81.739744,24.474934,0
2023-06-01,39,Lower Keys,-81.67159,24.48972,0
2023-06-01,4,Upper Keys,-80.41520614285714,24.986858335714285,0
2023-06-01,40,Lower Keys,-81.570164,24.51006,0
2023-06-01,41,Lower Keys,-81.63146,24.499615,0
2023-06-01,42,Lower Keys,-81.52017,24.522404,0
2023-06-01,43,Lower Keys,-81.87914,24.454845,0
2023-06-01,44,Middle Keys,-80.73689,24.77622,0
2023-06-01,45,Lower Keys,-81.451145,24.53896,0
2023-06-01,46,Lower Keys,-81.70589444444444,24.482108888888888,0
2023-06-01,47,Broward-Miami,-80.1100105872521,25.997518832866962,0
2023-06-01,48,Broward-Miami,-80.1066370010376,26.013216018676758,0
2023-06-01,49,Broward-Miami,-80.09374128069196,26.145856584821427,NA
2023-06-01,5,Middle Keys,-81.11055108108108,24.626045675675677,0
2023-06-01,50,Broward-Miami,-80.08564910888671,26.210536670684814,NA
2023-06-01,51,Broward-Miami,-80.0898677280971,26.182849611554825,NA
2023-06-01,52,Broward-Miami,-80.08897247314454,26.199350357055664,NA
2023-06-01,53,Broward-Miami,-80.098114013671875,26.109182834625244,0
2023-06-01,54,Broward-Miami,-80.09680938720703,26.1586332321167,NA
2023-06-01,55,Broward-Miami,-80.10639381408691,26.06255006790161,0
2023-06-01,56,Broward-Miami,-80.11518096923828,25.976316452026367,0
2023-06-01,57,Biscayne,-80.09595111111112,25.641212222222222,0
2023-06-01,58,Biscayne,-80.1385375,25.475755,0
2023-06-01,59,Broward-Miami,-80.10703,25.83403,0
2023-06-01,6,Lower Keys,-81.40537463414634,24.546137073170733,0
