data_provider,site,lat,lon,date,species,coral_type,n_alive,n_dead,n_geno,n_total,pct_mort,n_total_cat,subregion,siteclust
crf,crf.Carysfort Reef North CF North S2 Patch Reef UWCK,25.221800000000002,-80.21,2023-08-04,ACER,Outplant,58,342,10,400,0.855,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S1 RC Area 6,25.221800000000002,-80.21,2023-08-11,ACER,Outplant,99,84,4,183,0.45901639344262296,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S2 FRT Area 8,25.221800000000002,-80.21,2023-11-07,ACER,Outplant,0,101,4,101,1,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S2 FRT Area 9,25.221800000000002,-80.21,2023-11-07,ACER,Outplant,0,40,2,40,1,"[10,100)",Upper Keys,1
crf,crf.Eastern Dry Rocks EDR S7 FRT Area 1,24.46286,-81.84355,2023-11-07,ACER,Outplant,0,400,8,400,1,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S7 FRT Area 2,24.46286,-81.84355,2023-11-07,ACER,Outplant,0,518,4,518,1,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S8 FRT Area 5-8,24.46286,-81.84355,2023-08-11,ACER,Outplant,99,440,12,539,0.8163265306122449,"[100,1e+03)",Lower Keys,2
crf,crf.Eastern Dry Rocks EDR S8 FRT Area 5-8,24.46286,-81.84355,2023-08-11,ACER,Outplant,28,511,14,539,0.948051948051948,"[100,1e+03)",Lower Keys,2
crf,crf.Newfound Harbor S9 Patch Reef Area 2,24.61541,-81.3918,2023-09-18,ACER,Outplant,0,288,4,288,1,"[100,1e+03)",Lower Keys,3
crf,crf.Pickles Reef Pickles 2022 Area 9 (stag),24.98715,-80.41491,2023-09-09,ACER,Outplant,244,1025,1,1269,0.8077226162332545,"[1e+03,7e+03)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2022 Dive Program Area 7_1-3,24.98715,-80.41491,2023-09-09,ACER,Outplant,18,214,9,232,0.9224137931034483,"[100,1e+03)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2022 Dive Program Area 7_4-5,24.98715,-80.41491,2023-09-09,ACER,Outplant,65,104,8,169,0.6153846153846154,"[100,1e+03)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2022 Dive Program Area 8_1-2,24.98715,-80.41491,2024-01-04,ACER,Outplant,0,81,3,81,1,"[10,100)",Upper Keys,4
crf,crf.Pickles Reef Reef  Futures (coral clip),24.98715,-80.41491,2023-10-09,ACER,Outplant,0,350,1,350,1,"[100,1e+03)",Upper Keys,4
crf,crf.Sombrero Reef S5 S&G Area 2 (Stag),24.62645,-81.11082,2023-09-14,ACER,Outplant,0,700,9,700,1,"[100,1e+03)",Middle Keys,5
crf,crf.Carysfort Reef North CF North S5 Back Reef Area 1,25.221800000000002,-80.21,2024-01-31,ACER,Outplant,24,980,14,1004,0.9760956175298805,"[1e+03,7e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S4 Deep Reef Area 1,25.221800000000002,-80.21,2024-01-31,ACER,Outplant,31,133,4,164,0.8109756097560976,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S5 Spur and Groove Area 1,25.221800000000002,-80.21,2024-01-31,ACER,Outplant,98,498,5,596,0.8355704697986577,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S5 Spur and Groove Area 2,25.221800000000002,-80.21,2024-02-13,ACER,Outplant,0,271,5,271,1,"[100,1e+03)",Upper Keys,1
crf,crf.Eastern Dry Rocks EDR S6 Forereef Terrace Area 3,24.46286,-81.84355,2024-05-10,ACER,Outplant,0,306,6,306,1,"[100,1e+03)",Lower Keys,2
crf,crf.Newfound Harbor NFH S11 Patch Reef Area 1,24.61541,-81.3918,2024-03-12,ACER,Outplant,0,202,4,202,1,"[100,1e+03)",Lower Keys,3
crf,crf.Pickles Reef Pickles 2023 Channel 4 Media,24.98715,-80.41491,2024-01-05,ACER,Outplant,20,0,1,20,0,"[10,100)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2023 Dive Program Area 1,24.98715,-80.41491,2024-01-05,ACER,Outplant,0,52,1,52,1,"[10,100)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2023 Dive Program Area 2,24.98715,-80.41491,2024-01-05,ACER,Outplant,0,38,1,38,1,"[10,100)",Upper Keys,4
crf,crf.Pickles Reef Pickles 2023 Dive Program Area 5,24.98715,-80.41491,2024-04-12,ACER,Outplant,0,102,2,102,1,"[100,1e+03)",Upper Keys,4
crf,crf.Carysfort Reef South CF South S1 RC Area 2,25.221800000000002,-80.21,2023-08-11,APAL,Outplant,149,263,8,412,0.6383495145631068,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S1 RC Area 3,25.221800000000002,-80.21,2023-08-11,APAL,Outplant,86,197,7,283,0.696113074204947,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S1 RC Area 4,25.221800000000002,-80.21,2023-08-11,APAL,Outplant,0,238,6,238,1,"[100,1e+03)",Upper Keys,1
crf,crf.Carysfort Reef South CF South S1 RC Area 5,25.221800000000002,-80.21,2023-08-11,APAL,Outplant,0,461,7,461,1,"[100,1e+03)",Upper Keys,1
